idx,avg_dm_rate,PDB2RFE_6.96462,PDB2N3_8.98509,PDB2KYA_8.97783
0,-0.9014309555729527,-0.8842599823105268,-0.9104356300938065,-0.9095972543145245
1,-0.02099984541209421,-0.021690152582756955,0.0035209401950827028,-0.04483032384860837
2,-0.006100678301411366,-0.00624176088044806,0.03784435717829631,-0.04990463120208235
3,0.014608188838089538,0.019715998085264863,0.05908640369127292,-0.03497783526226917
4,0.011200369995240385,0.0292320931503146,0.04178594286664112,-0.03741692603123457
5,-0.008320897193498248,0.023106747359022472,0.030391408980766147,-0.07846084792028336
6,-0.09342483239847867,-0.09436563611887736,-0.08296211971836134,-0.1029467413581973
7,-0.09714033184191578,-0.09646767510667296,-0.08942253366455881,-0.10553078675451558
8,-0.11318028280648533,-0.0972763998127628,-0.10709082573551491,-0.13517362287117826
9,-0.09621254300879646,-0.09332594124830508,-0.0915090756838385,-0.10380261209424581
10,-0.09588128959690523,-0.10123197682473817,-0.09548464534034483,-0.09092724662563266
11,-0.09346503114666445,-0.09307421686856426,-0.09745657628627498,-0.08986430028515413
12,-0.08960341962384079,-0.10206592919711728,-0.09592483320225612,-0.07081949647214895
13,-0.07163926908204937,-0.08551148369360206,-0.07288935226353428,-0.05651697128901178
14,0.003364055158240489,-0.0063307744269208615,0.001732138222222946,0.014690801679419382
15,0.017088802200770848,0.002576432173412247,0.018595875719969245,0.03009409870893105
16,0.018766121666631583,0.007708243167671209,0.017139073479876425,0.03145104835234711
17,0.017531823613081327,0.005401538497970378,0.018759301726000842,0.02843463061527276
18,0.017862988056923084,0.025564422179272857,0.00917509758667289,0.018849444404823505
19,0.002507591773987865,0.021820923744967444,-0.00508831043165134,-0.009209837991352507
20,0.0,0.0,0.0,0.0
